assured_age,nominee_relation,occupation,policy sumassured,premium,premiumpaymentmode,annual income,holdermaritalstatus,indiv_requirementflag,policy term,policy payment term,product type,channel,fraud category
47,brother,business,"  150,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
34,husband,self-employed,"  350,000 ","  5,000 ",yearly,"  210,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
40,husband,self-employed,"  125,000 ","  2,500 ",yearly,"  180,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
28,spouse,business,"  400,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
51,brother,business,"  100,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
44,husband,agriculturist,"  175,000 ","  5,000 ",yearly,"  200,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
54,daughter,agriculturist,"  100,000 ","  5,000 ",yearly,"  500,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
53,son,business,"  60,000 ","  3,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
52,brother,agriculturist,"  100,000 ","  5,000 ",yearly,"  260,000 ",single,non medical,10,10,traditional,bancassurance,misrepresentation
52,son,housewife,"  100,000 ","  5,000 ",yearly,"  350,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
50,husband,agriculturist,"  125,000 ","  5,000 ",yearly,"  200,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
54,son,service,"  100,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
44,husband,agriculturist,"  120,000 ","  3,000 ",yearly,"  200,000 ",married,non medical,15,10,traditional,institutional alliance,misrepresentation
38,wife,agriculturist,"  275,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
35,spouse,business,"  350,000 ","  5,000 ",yearly,"  420,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
49,son,self-employed,"  75,000 ","  3,000 ",yearly,"  360,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
34,husband,business,"  350,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
23,mother,service,"  475,000 ","  5,000 ",yearly,"  144,000 ",single,non medical,15,10,traditional,retail agency,misrepresentation
28,husband,service,"  400,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
53,wife,agriculturist,"  100,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
48,spouse,business,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
48,wife,service,"  125,000 ","  5,000 ",yearly,"  444,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
47,son,housewife,"  150,000 ","  5,000 ",yearly,"  350,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
51,spouse,business,"  100,000 ","  5,000 ",yearly,"  480,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
48,husband,self-employed,"  125,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
52,daughter,agriculturist,"  100,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,wife,agriculturist,"  125,000 ","  5,000 ",yearly,"  276,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
55,wife,business,"  100,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,wife,business,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
48,husband,business,"  150,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,wife,self-employed,"  150,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,husband,housewife,"  150,000 ","  5,000 ",yearly,"  355,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,daughter,self-employed,"  150,000 ","  5,000 ",yearly,"  200,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
47,spouse,business,"  150,000 ","  5,000 ",yearly,"  400,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
42,daughter,service,"  400,000 ","  5,000 ",yearly,"  600,000 ",widowed,non medical,10,10,traditional,retail agency,misrepresentation
50,son,service,"  400,000 ","  40,000 ",yearly,"  640,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,business,"  500,000 ","  50,000 ",yearly,"  350,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  999,000 ","  99,900 ",yearly,"  984,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,retired,"  600,000 ","  60,000 ",yearly,"  480,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
50,wife,service,"  400,000 ","  40,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,spouse,service,"  400,000 ","  40,000 ",yearly,"  700,000 ",married,medical,12,10,ulip,retail agency,misrepresentation
50,wife,service,"  400,000 ","  40,000 ",yearly,"  744,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
46,husband,housewife,"  999,000 ","  99,900 ",yearly,"  1,000,000 ",married,medical,15,10,ulip,retail agency,misrepresentation
46,spouse,service,"  2,000,000 ","  200,000 ",yearly,"  500,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
42,wife,service,"  500,000 ","  50,000 ",yearly,"  960,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  300,000 ","  30,000 ",yearly,"  400,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,wife,service,"  600,000 ","  60,000 ",yearly,"  840,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,son,service,"  500,000 ","  50,000 ",yearly,"  732,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
46,wife,retired,"  990,000 ","  99,000 ",yearly,"  400,000 ",married,medical,12,10,ulip,retail agency,misrepresentation
55,wife,service,"  500,000 ","  50,000 ",yearly,"  960,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,business,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
36,wife,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,spouse,service,"  300,000 ","  30,000 ",yearly,"  780,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  300,000 ","  30,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,daughter,service,"  1,000,000 ","  100,000 ",yearly,"  600,000 ",widowed,non medical,12,10,ulip,bancassurance,misrepresentation
54,husband,housewife,"  600,000 ","  60,000 ",yearly,"  660,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,self-employed,"  500,000 ","  50,000 ",yearly,"  300,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
43,wife,self-employed,"  300,000 ","  30,000 ",yearly,"  249,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
45,wife,service,"  300,000 ","  30,000 ",yearly,"  504,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
51,wife,service,"  999,000 ","  99,900 ",yearly,"  960,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,wife,service,"  500,000 ","  50,000 ",yearly,"  660,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
55,spouse,service,"  300,000 ","  30,000 ",yearly,"  672,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  1,000,000 ","  100,000 ",yearly,"  780,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
51,wife,service,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,medical,15,10,ulip,retail agency,misrepresentation
48,son,agriculturist,"  500,000 ","  50,000 ",yearly,"  750,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
44,wife,service,"  300,000 ","  30,000 ",yearly,"  624,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,husband,service,"  500,000 ","  50,000 ",yearly,"  1,200,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  320,000 ","  32,000 ",yearly,"  600,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
26,husband,self-employed,"  500,000 ","  50,000 ",yearly,"  360,000 ",married,medical,12,10,ulip,retail agency,misrepresentation
51,wife,agriculturist,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,spouse,service,"  300,000 ","  30,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
46,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,husband,housewife,"  500,000 ","  50,000 ",yearly,"  350,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  500,000 ","  50,000 ",yearly,"  912,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
51,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  300,000 ","  30,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  300,000 ","  30,000 ",yearly,"  540,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
40,husband,housewife,"  300,000 ","  30,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,son,service,"  400,000 ","  40,000 ",yearly,"  540,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  1,000,000 ","  100,000 ",yearly,"  540,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
36,wife,service,"  300,000 ","  30,000 ",yearly,"  840,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
45,wife,service,"  300,000 ","  30,000 ",yearly,"  580,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
42,wife,service,"  400,000 ","  40,000 ",yearly,"  600,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,husband,housewife,"  500,000 ","  50,000 ",yearly,"  250,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
50,wife,business,"  400,000 ","  40,000 ",yearly,"  600,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
53,son,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,spouse,self-employed,"  1,000,000 ","  100,000 ",yearly,"  700,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  499,000 ","  49,900 ",yearly,"  780,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
45,husband,service,"  500,000 ","  50,000 ",yearly,"  900,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  1,000,000 ","  100,000 ",yearly,"  660,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,son,business,"  300,000 ","  30,000 ",yearly,"  420,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,son,service,"  330,000 ","  33,000 ",yearly,"  780,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
55,wife,service,"  800,000 ","  80,000 ",yearly,"  540,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
51,spouse,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,son,service,"  400,000 ","  40,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,spouse,service,"  400,000 ","  40,000 ",yearly,"  720,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,spouse,service,"  300,000 ","  30,000 ",yearly,"  1,020,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
51,wife,business,"  400,000 ","  40,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  1,000,000 ","  100,000 ",yearly,"  1,140,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,son,retired,"  300,000 ","  30,000 ",yearly,"  600,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,son,service,"  500,000 ","  50,000 ",yearly,"  650,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,husband,service,"  1,000,000 ","  100,000 ",yearly,"  1,800,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,son,service,"  500,000 ","  50,000 ",yearly,"  960,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
45,wife,service,"  300,000 ","  30,000 ",yearly,"  480,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  1,000,000 ","  100,000 ",yearly,"  900,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
47,wife,business,"  1,000,000 ","  100,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,spouse,service,"  500,000 ","  50,000 ",yearly,"  540,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
52,wife,service,"  500,000 ","  50,000 ",yearly,"  840,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  500,000 ","  50,000 ",yearly,"  420,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  600,000 ","  60,000 ",yearly,"  600,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
55,wife,service,"  400,000 ","  40,000 ",yearly,"  540,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,service,"  300,000 ","  30,000 ",yearly,"  10,800,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,son,business,"  1,000,000 ","  100,000 ",yearly,"  420,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
54,wife,business,"  1,000,000 ","  100,000 ",yearly,"  1,200,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,son,service,"  500,000 ","  50,000 ",yearly,"  816,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
33,wife,agriculturist,"  300,000 ","  30,000 ",yearly,"  540,000 ",married,medical,12,10,ulip,institutional alliance,misrepresentation
49,son,service,"  1,000,000 ","  100,000 ",yearly,"  732,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,spouse,housewife,"  125,000 ","  100,000 ",single,"  500,000 ",married,non medical,10,10,ulip,retail agency,misrepresentation
54,son,service,"  400,000 ","  40,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  400,000 ","  40,000 ",yearly,"  600,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  500,000 ","  50,000 ",yearly,"  624,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,service,"  1,000,000 ","  100,000 ",yearly,"  540,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,wife,service,"  520,000 ","  52,000 ",yearly,"  800,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,business,"  497,000 ","  49,700 ",yearly,"  420,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
51,spouse,business,"  400,000 ","  40,000 ",yearly,"  240,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
55,wife,service,"  300,000 ","  30,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,son,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
54,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,son,service,"  380,000 ","  38,000 ",yearly,"  540,000 ",widowed,non medical,12,10,ulip,bancassurance,misrepresentation
47,wife,self-employed,"  500,000 ","  50,000 ",yearly,"  360,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,son,business,"  500,000 ","  50,000 ",yearly,"  420,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
55,wife,service,"  300,000 ","  30,000 ",yearly,"  480,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
48,son,agriculturist,"  490,000 ","  49,000 ",yearly,"  400,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
47,wife,service,"  300,000 ","  30,000 ",yearly,"  240,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
46,wife,self-employed,"  500,000 ","  50,000 ",yearly,"  384,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,husband,business,"  499,000 ","  49,900 ",yearly,"  250,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
41,husband,housewife,"  999,000 ","  99,900 ",yearly,"  900,000 ",married,non medical,25,10,ulip,retail agency,misrepresentation
54,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
38,daughter,business,"  1,000,000 ","  100,000 ",yearly,"  420,000 ",married,non medical,20,10,ulip,retail agency,misrepresentation
46,wife,business,"  1,000,000 ","  100,000 ",yearly,"  960,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
46,son,agriculturist,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  600,000 ","  60,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  1,000,000 ","  100,000 ",yearly,"  1,200,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  750,000 ","  75,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,agriculturist,"  500,000 ","  50,000 ",yearly,"  420,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
54,wife,service,"  700,000 ","  70,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,wife,business,"  1,000,000 ","  100,000 ",yearly,"  1,440,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,service,"  400,000 ","  40,000 ",yearly,"  576,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,husband,housewife,"  500,000 ","  50,000 ",yearly,"  360,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
50,wife,business,"  1,000,000 ","  100,000 ",yearly,"  500,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
48,wife,service,"  300,000 ","  30,000 ",yearly,"  624,000 ",married,medical,12,10,ulip,retail agency,misrepresentation
53,wife,business,"  400,000 ","  40,000 ",yearly,"  420,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
55,wife,service,"  500,000 ","  50,000 ",yearly,"  1,140,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,husband,self-employed,"  499,000 ","  49,900 ",yearly,"  360,000 ",married,non medical,20,10,ulip,retail agency,misrepresentation
54,spouse,business,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
46,wife,service,"  1,000,000 ","  100,000 ",yearly,"  660,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,son,business,"  500,000 ","  50,000 ",yearly,"  300,000 ",married,medical,20,10,ulip,retail agency,misrepresentation
53,spouse,self-employed,"  1,000,000 ","  100,000 ",yearly,"  780,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,son,service,"  500,000 ","  50,000 ",yearly,"  900,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,son,service,"  500,000 ","  50,000 ",yearly,"  552,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
51,wife,service,"  300,000 ","  30,000 ",yearly,"  780,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  400,000 ","  40,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  500,000 ","  50,000 ",yearly,"  596,400 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,spouse,self-employed,"  1,000,000 ","  100,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,service,"  400,000 ","  40,000 ",yearly,"  540,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  400,000 ","  40,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
47,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,spouse,service,"  500,000 ","  50,000 ",yearly,"  660,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,son,business,"  500,000 ","  50,000 ",yearly,"  360,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
54,son,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
46,son,housewife,"  500,000 ","  50,000 ",yearly,"  960,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,business,"  500,000 ","  50,000 ",yearly,"  768,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
49,wife,service,"  600,000 ","  60,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,spouse,service,"  1,000,000 ","  100,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
51,spouse,service,"  300,000 ","  30,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  500,000 ","  50,000 ",yearly,"  800,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
51,son,business,"  500,000 ","  50,000 ",yearly,"  250,000 ",widowed,non medical,12,10,ulip,bancassurance,misrepresentation
50,daughter,service,"  500,000 ","  50,000 ",yearly,"  576,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,son,housewife,"  500,000 ","  50,000 ",yearly,"  648,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
46,spouse,service,"  500,000 ","  50,000 ",yearly,"  650,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,wife,self-employed,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,non medical,21,10,ulip,retail agency,misrepresentation
48,wife,agriculturist,"  300,000 ","  30,000 ",yearly,"  504,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,agriculturist,"  500,000 ","  50,000 ",yearly,"  350,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
55,wife,business,"  1,000,000 ","  100,000 ",yearly,"  350,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
48,wife,agriculturist,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,business,"  300,000 ","  30,000 ",yearly,"  300,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
51,spouse,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,wife,retired,"  1,000,000 ","  100,000 ",yearly,"  504,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,wife,service,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
54,wife,business,"  1,000,000 ","  100,000 ",yearly,"  1,000,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
50,spouse,business,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
51,spouse,business,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
48,son,housewife,"  500,000 ","  50,000 ",yearly,"  350,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,wife,service,"  1,000,000 ","  100,000 ",yearly,"  240,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,spouse,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
51,son,business,"  300,000 ","  30,000 ",yearly,"  350,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
53,wife,service,"  500,000 ","  50,000 ",yearly,"  1,164,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
51,son,service,"  1,500,000 ","  150,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
51,son,service,"  1,000,000 ","  100,000 ",yearly,"  780,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
45,wife,service,"  500,000 ","  50,000 ",yearly,"  420,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
53,son,business,"  499,000 ","  49,900 ",yearly,"  300,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
52,son,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
48,spouse,agriculturist,"  300,000 ","  30,000 ",yearly,"  360,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
46,wife,business,"  500,000 ","  50,000 ",yearly,"  660,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,agriculturist,"  300,000 ","  30,000 ",yearly,"  400,000 ",married,medical,12,10,ulip,bancassurance,misrepresentation
51,wife,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
52,son,service,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,wife,service,"  1,000,000 ","  100,000 ",yearly,"  744,000 ",married,medical,12,10,ulip,retail agency,misrepresentation
54,son,agriculturist,"  500,000 ","  50,000 ",yearly,"  360,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
50,wife,self-employed,"  1,000,000 ","  100,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,wife,service,"  300,000 ","  30,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
55,wife,service,"  500,000 ","  50,000 ",yearly,"  780,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
